,Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Price,Memory1,Memory2,Processor
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Plus Graphics 640,macOS,71378.6832,128GB SSD,No additional storage,Intel Core i5
1,Apple,Ultrabook,13.3,1440x900,8.0,Intel HD Graphics 6000,macOS,47895.5232,128GB Flash Storage,No additional storage,Intel Core i5
2,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,No OS,30636.0,256GB SSD,No additional storage,Intel Core i5
3,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16.0,AMD Radeon Pro 455,macOS,135195.336,512GB SSD,No additional storage,Intel Core i7
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Plus Graphics 650,macOS,96095.808,256GB SSD,No additional storage,Intel Core i5
5,Acer,Notebook,15.6,1366x768,4.0,AMD Radeon R5,Windows 10,21312.0,500GB HDD,No additional storage,AMD A9-Series
6,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16.0,Intel Iris Pro Graphics,Mac OS X,114017.6016,256GB Flash Storage,No additional storage,Intel Core i7
7,Apple,Ultrabook,13.3,1440x900,8.0,Intel HD Graphics 6000,macOS,61735.536,256GB Flash Storage,No additional storage,Intel Core i5
8,Asus,Ultrabook,14.0,Full HD 1920x1080,16.0,Nvidia GeForce MX150,Windows 10,79653.6,512GB SSD,No additional storage,Intel Core i7
9,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,41025.6,256GB SSD,No additional storage,Intel Core i5
10,HP,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,No OS,20986.992,500GB HDD,No additional storage,Intel Core i5
11,HP,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,No OS,18381.0672,500GB HDD,No additional storage,Intel Core i3
12,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16.0,AMD Radeon Pro 555,macOS,130001.6016,256GB SSD,No additional storage,Intel Core i7
13,Dell,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Windows 10,26581.392,256GB SSD,No additional storage,Intel Core i3
14,Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,8.0,Intel HD Graphics 615,macOS,67260.672,256GB SSD,No additional storage,Intel Core M
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Plus Graphics 640,macOS,80908.344,256GB SSD,No additional storage,Intel Core i5
16,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon R5 M430,Windows 10,39693.6,256GB SSD,No additional storage,Intel Core i7
17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,16.0,AMD Radeon Pro 560,macOS,152274.24,512GB SSD,No additional storage,Intel Core i7
18,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,No OS,26586.72,1TB HDD,No additional storage,Intel Core i3
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,52161.12,128GB SSD,No additional storage,Intel Core i5
21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,53226.72,128GB SSD,1TB HDD,Intel Core i5
22,HP,Notebook,15.6,1366x768,4.0,AMD Radeon R2,No OS,13746.24,500GB HDD,No additional storage,AMD E-Series
23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,43636.32,256GB SSD,No additional storage,Intel Core i5
24,HP,Ultrabook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,35111.52,256GB SSD,No additional storage,Intel Core i7
25,Dell,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,22305.1392,1TB HDD,No additional storage,Intel Core i3
26,Apple,Ultrabook,13.3,1440x900,8.0,Intel HD Graphics 6000,Mac OS X,58554.72,128GB Flash Storage,No additional storage,Intel Core i5
27,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,42624.0,256GB SSD,No additional storage,Intel Core i5
28,Dell,Ultrabook,15.6,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,69157.44,256GB SSD,256GB SSD,Intel Core i7
29,HP,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 930MX,Windows 10,47738.88,1TB HDD,No additional storage,Intel Core i5
30,Chuwi,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics,Windows 10,13053.0672,64GB Flash Storage,No additional storage,Intel Atom
31,Asus,Notebook,14.0,1366x768,2.0,AMD Radeon R2,Windows 10,10602.72,32GB Flash Storage,No additional storage,AMD E-Series
32,HP,Notebook,17.3,Full HD 1920x1080,4.0,AMD Radeon 530,Windows 10,23389.92,500GB HDD,No additional storage,AMD A6-Series
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,16.0,Intel UHD Graphics 620,Windows 10,99580.32,512GB SSD,No additional storage,Intel Core i7
34,Apple,Ultrabook,13.3,1440x900,8.0,Intel HD Graphics 6000,Mac OS X,53173.44,256GB Flash Storage,No additional storage,Intel Core i5
35,Lenovo,Notebook,14.0,1366x768,4.0,Intel HD Graphics 500,Windows 10,13266.72,64GB Flash Storage,No additional storage,Intel Celeron
36,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Linux,19553.76,1TB HDD,No additional storage,Intel Core i3
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,52161.12,128GB SSD,1TB HDD,Intel Core i5
38,HP,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,26037.4032,1TB HDD,No additional storage,Intel Core i5
39,HP,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 930MX ,Windows 10,46833.12,256GB SSD,No additional storage,Intel Core i5
40,Asus,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 620,Linux,20725.92,1TB HDD,No additional storage,Intel Core i3
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,79866.72,256GB SSD,1TB HDD,Intel Core i7
42,Asus,Notebook,15.6,1366x768,8.0,Nvidia GeForce 940MX,Linux,27864.9072,1TB HDD,No additional storage,Intel Core i5
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,4.0,Intel UHD Graphics 620,Windows 10,36336.96,256GB SSD,No additional storage,Intel Core i5
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,12.0,Nvidia GeForce 150MX,Windows 10,53226.72,1TB HDD,No additional storage,Intel Core i5
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Graphics 540,macOS,75604.32,256GB SSD,No additional storage,Intel Core i5
47,Asus,Gaming,17.3,Full HD 1920x1080,8.0,AMD Radeon RX 580,Windows 10,69210.72,256GB SSD,1TB HDD,AMD Ryzen
48,Dell,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Windows 10,34045.92,256GB SSD,No additional storage,Intel Core i5
49,Asus,Notebook,17.3,1366x768,4.0,Nvidia GeForce 920MX,Windows 10,24828.48,1TB HDD,No additional storage,Intel Pentium
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,Windows 10,44808.48,256GB SSD,No additional storage,Intel Core i7
52,HP,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R4 Graphics,Windows 10,21231.5472,256GB SSD,No additional storage,AMD A6-Series
53,HP,Notebook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,58767.84,512GB SSD,No additional storage,Intel Core i7
54,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,20459.52,1TB HDD,No additional storage,Intel Core i3
55,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 520,Windows 10,40908.384,256GB SSD,No additional storage,Intel Core i7
56,HP,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,Windows 10,23389.92,128GB SSD,No additional storage,Intel Core i3
57,Asus,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,31232.2032,256GB SSD,No additional storage,Intel Core i5
58,MSI,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1070,Windows 10,130482.72,256GB SSD,2TB HDD,Intel Core i7
59,Asus,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,Linux,22111.2,256GB SSD,No additional storage,Intel Core i3
60,Dell,Notebook,17.3,Full HD 1920x1080,16.0,AMD Radeon 530,Windows 10,69210.72,256GB SSD,2TB HDD,Intel Core i7
61,Dell,Ultrabook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,46833.12,256GB SSD,No additional storage,Intel Core i5
62,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 620,No OS,31914.72,256GB SSD,No additional storage,Intel Core i3
63,Asus,Notebook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,50136.48,256GB SSD,No additional storage,Intel Core i5
64,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,36763.2,256GB SSD,No additional storage,Intel Core i5
65,Asus,Ultrabook,15.6,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,105654.24,512GB SSD,No additional storage,Intel Core i7
66,HP,Notebook,15.6,1366x768,4.0,AMD Radeon 520,Windows 10,23373.4032,500GB HDD,No additional storage,Intel Core i3
67,HP,Notebook,14.0,1366x768,4.0,Intel HD Graphics 400,Windows 10,12201.12,32GB SSD,No additional storage,Intel Celeron
68,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 620,Windows 10,29250.72,1TB HDD,No additional storage,Intel Core i5
69,Asus,Gaming,17.3,Full HD 1920x1080,12.0,Nvidia GeForce GTX 1050 Ti,Linux,50562.72,1TB HDD,No additional storage,Intel Core i7
